Handle,Title,body_html,Vendor,Type,Tags,Published,Option1,Option1Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,VariantSKU,Variant Grams,Variant Inventory Tracker,VariantQty,VariantPolicy,VariantFulfillmentService,VariantPrice,VariantComparePrice,VariantShipping,VariantTaxable,VariantBarcode,ImageSrc,ImagePosition,ImageAltText,GiftCard,SEOTitle,SEODescription,GoogleShopping,GoogleGender,GoogleAgeGroup,MPN,AdWordsGrouping,Google Shopping / AdWords Labels,GoogleCondition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
14k-White-Gold-Baguette DIAMOND-Square-Cluster-Pendant-1-Cttw,14k White Gold Baguette Diamond Square Cluster Pendant 1 Cttw,Precious Metal Type: 14kt White Gold <br>Approx. Gram Weight: 2.982 <br>Total Gemstone Carat Weight: 1 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Baguette <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I1 <br>Primary Gem Setting: Channel-set <br>Primary Gem Carat Weight: 0.39 <br>Gem2 Type: Diamond <br>Gem2 Shape: Round <br>Gem2 Color: G-H <br>Gem2 Clarity: I1-I2 <br>Gem2 Setting: Pave-set <br>Gem 2 Carat Weight: 0.62 <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,PC16629PA/W,,,100,deny,manual,$794.00 ,"$1,773.00 ",TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0542055_1.jpg,1,,FALSE,14k White Gold Baguette Diamond Square Cluster Pendant 1 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
14k-White-Gold-Baguette DIAMOND-Square-Cluster-Pendant-1-Cttw,,,,,API,,,,,,,,,,,,,,,,,,,https://www.gndatlanta.com/product/image/large/c0542055_2.jpg,,,,,,,,,,,,new,,,,,,,,,,
14k-White-Gold-Round DIAMOND-Peace-Sign-Circle-Pendant-3/4-Cttw,14k White Gold Round Diamond Peace Sign Circle Pendant 3/4 Cttw,Precious Metal Type: 14kt White Gold <br>Approx. Gram Weight: 2.03 <br>Total Gemstone Carat Weight: 3/4 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I1-I2 <br>Primary Gem Setting: Pave-set <br>Primary Gem Carat Weight: 0.78 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,FOPR2553/W-14K,,,100,deny,manual,$430.00 ,$947.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0148799_1.jpg,1,,FALSE,14k White Gold Round Diamond Peace Sign Circle Pendant 3/4 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
1/3CTW-DIA-CROSS-PENDANT,1/3CTW DIAMOND CROSS PENDANT,Precious Metal Type: 10kt White Gold <br>Approx. Gram Weight: 1.24 <br>Primary Gem Carat Weight: 0 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,API,TRUE,,,,,,,GNDPD508/W,,,100,deny,manual,$189.00 ,$399.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c1553880_1.jpg,1,,FALSE,1/3CTW-DIA CROSS PENDANT,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
14k-White-Gold-Round DIAMOND-Flower-Cluster-Pendant-1/2-Cttw,14k White Gold Round Diamond Flower Cluster Pendant 1/2 Cttw,Precious Metal Type: 14kt White Gold <br>Approx. Gram Weight: 1.346 <br>Total Gemstone Carat Weight: 1/2 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I1 <br>Primary Gem Setting: Cluster <br>Primary Gem Carat Weight: 0.5 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,,TRUE,,,,,,,PL2015/W,,,100,deny,manual,$354.00 ,$773.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0193129_2.jpg,1,,FALSE,14k White Gold Round Diamond Flower Cluster Pendant 1/2 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
14k-White-Gold-Round DIAMOND-Flower-Cluster-Pendant-1/2-Cttw,,,,,,,,,,,,,,,,,,,,,,,,https://www.gndatlanta.com/product/image/large/c0193129_3.jpg,,,,,,,,,,,,new,,,,,,,,,,
14k-White-Gold-Round DIAMOND-Flower-Cluster-Pendant-1/2-Cttw,,,,,,,,,,,,,,,,,,,,,,,,https://www.gndatlanta.com/product/image/large/c0193129_1.jpg,,,,,,,,,,,,new,,,,,,,,,,
14k-White-Gold-Round DIAMOND-Outline-Heart-Pendant-2-Cttw,14k White Gold Round Diamond Outline Heart Pendant 2 Cttw,Precious Metal Type: 14kt White Gold <br>Approx. Gram Weight: 4.58 <br>Total Gemstone Carat Weight: 2 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I2 <br>Primary Gem Setting: Prong-set <br>Primary Gem Carat Weight: 1.97 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,,TRUE,,,,,,,AJP09846/W,,,100,deny,manual,"$1,102.00 ","$2,473.00 ",TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0622977_2.jpg,1,,FALSE,14k White Gold Round Diamond Outline Heart Pendant 2 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
14k-White-Gold-Round DIAMOND-Outline-Heart-Pendant-2-Cttw,,,,,,,,,,,,,,,,,,,,,,,,https://www.gndatlanta.com/product/image/large/c0622977_1.jpg,,,,,,,,,,,,new,,,,,,,,,,
10k-Yellow-Gold-Round DIAMOND-Heart-Pendant-1/4-Cttw,10k Yellow Gold Round Diamond Heart Pendant 1/4 Cttw,Precious Metal Type: 10kt Yellow Gold <br>Approx. Gram Weight: 1.6 <br>Total Gemstone Carat Weight: 1/4 <br>Primary Gem Type: Diamond <br>Primary Gem Shape: Round <br>Primary Gem Color: G-H <br>Primary Gem Clarity: I3 <br>Primary Gem Setting: Pave-set <br>Primary Gem Carat Weight: 0.25 <br>Gem 2 Carat Weight: None <br>Gem 3 Carat Weight: None <br>,gndatlanta,,,TRUE,,,,,,,PWW2135,,,100,deny,manual,$178.00 ,$373.00 ,TRUE,TRUE,,https://www.gndatlanta.com/product/image/large/c0196553_1.jpg,1,,FALSE,10k Yellow Gold Round Diamond Heart Pendant 1/4 Cttw,,,,,,gndatlanta,,new,,Wholesale Diamonds,,,,,,,,
